X,Y,Distance,LogDist,Azimuth,RSRP
370,830,355.682957019364,2.55106305593705,111.501434324048,21.8902095843611
960,10,673.086303981862,2.8280707535851,-46.8087393224921,-3.61545796475886
730,920,479.852795752515,2.68110802946458,61.2940474565989,2.22771217109652
600,450,112.803398874989,2.05232218555525,-26.565051177078,39.6743960095405
150,750,431.116263352131,2.63459440640959,144.462322208026,-0.685367496752619
1000,960,680.411510058521,2.8327716516669,42.6140559696112,0.806564586047942
50,870,583.58046654518,2.76610074687184,140.572197803964,-4.46207351216395
870,420,379.549864614954,2.5792688408494,-12.2004687273808,6.01627538354665
600,670,198.23082923316,2.29717119770047,59.5344550805401,6.54280167550512
710,450,216.870331449229,2.33620014321201,-13.3924977537511,20.0558767798599
20,70,645.437739428721,2.80985435546898,-138.144957464698,3.6567251152394
970,860,593.030404624627,2.77307696018078,37.4505782317367,-1.81354763180263
830,980,583.494635168428,2.76603686736089,55.4914770123316,-11.5912768630106
210,420,301.832179129826,2.47976553919544,-164.577838681261,12.9195615469042
180,340,358.770876399966,2.55481718149541,-153.434948822922,7.96434917857744
180,500,321,2.50650503240487,180,21.5175895962311
300,680,270.072480941474,2.4314803339685,138.012787504183,11.4968922219281
520,920,421.475920832573,2.62477276817012,87.2736890060937,10.8880672437055
430,550,87.0232526704263,1.93963531189645,144.462322208026,25.7068908950015
290,360,253.388589282479,2.40378705362858,-146.30993247402,9.23971262818921
610,680,211.95023109729,2.32623389443207,58.5704343851615,4.46147871517229
140,60,569.506816142076,2.75549892629954,-129.2894068625,5.53388744712794
290,440,219.403296678416,2.34124314884712,-164.054604099077,5.74206037955372
360,920,443.718872423573,2.64710790069112,108.434948822922,2.63269677261638
450,960,463.709412050371,2.66624591099189,96.2034479016918,-3.1461175154314
790,100,495.064773081425,2.69466202469415,-54.0578881286177,0.289678702102814
200,110,493.036584005702,2.69287914573225,-127.568592028827,-0.375884115273017
510,800,301.166620396073,2.47880683545322,88.0908475670036,10.9841033975112
